id,station,lat,long,long2,utmx,utmy,elevation,vx,vy,v,b,dem,thickness
1,wp01,77.180455,-61.120858,298.879142,-35642.43,8669129.50,1905.17,-3.71,-0.92,3.8,234.4,1900,1378
2,wp02,77.023879,-60.067917,299.932083,-17393.19,8643297.29,1853.45,-10.65,-17.77,20.61,190.4,1837,1379
3,wp03,76.887947,-59.357730,300.642270,-5809.65,8622813.36,1755.74,-25.66,-32.85,41.49,198.1,1768,1352
4,wp04,76.679380,-58.242543,301.757457,13408.90,8591342.01,1676.3,-64.04,-55.95,84.65,210.1,1692,1372
5,wp05,76.503942,-57.362679,302.637321,28917.78,8565525.47,1637.47,-116.06,-40.48,122.35,232.9,1679,1380
6,wp06,76.324628,-56.511587,303.488413,44240.07,8539673.42,1679.49,-100.06,-31.30,104.39,235.6,1712,1387
7,wp07,76.142679,-55.682765,304.317235,59560.75,8513855.28,1781.53,-61.85,-14.41,63.38,240.4,1778,1390
8,wp08,75.957755,-54.874217,305.125783,74903.14,8488011.40,1902.86,-46.97,-12.41,48.38,239.8,1884,1244
9,wp09,75.770607,-54.085504,305.914496,90285.24,8462212.41,1945.05,-58.78,-18.96,61.52,237.5,1944,1362
10,wp10,75.495087,-53.477145,306.522855,99014.98,8428186.72,1928.67,-70.12,-16.95,71.85,242.4,1934,1542
11,wp12,75.274566,-52.957173,307.042827,107396.60,8400749.46,1986.5,-81.77,-4.69,81.59,253.2,1978,1730
12,wp13,75.016294,-52.751741,307.248259,106430.96,8371299.45,1951.18,-80.73,-3.16,80.47,254.5,1944,1414
13,wp14,74.700360,-52.577047,307.422953,103330.46,8335750.85,1886.55,-81.06,4.48,80.85,260,1902,1651
14,wp15,74.434208,-52.452271,307.547729,100232.92,8305928.43,1896.12,-82.27,6.79,82.21,261.7,1892,1441
15,wp16,74.168597,-52.326917,307.673083,97298.18,8276139.54,1888.09,-83.89,4.52,83.67,260.2,1880,1535
16,wp17,73.901243,-52.207994,307.792006,94258.54,8246183.66,1858.45,-87.66,-0.41,87.31,257,1859,1368
17,wp18,73.634599,-52.086371,307.913629,91446.04,8216266.54,1839.03,-86.97,0.39,86.63,257.7,1831,1387
18,wp19,73.433223,-52.000945,307.999055,89207.55,8193703.64,1828.66,-109.81,-2.58,109.38,256.2,1826,1410
19,wp20,73.198995,-51.542237,308.457763,98045.38,8164992.37,1880.95,-114.75,7.27,114.52,261.6,1886,1468
20,wp21,72.963323,-51.100079,308.899921,106743.21,8136264.99,1973.37,-75.25,10.25,75.65,266.2,1977,1346
21,wp22,72.727169,-50.664829,309.335171,115615.18,8107561.38,2075.17,-46.53,9.55,47.32,270.4,2082,1374
22,wp23,72.490044,-50.241086,309.758914,124489.56,8078857.36,2178.03,-15.80,8.16,17.72,286.6,2179,1679
23,wp24,72.252687,-49.831206,310.168794,133287.40,8050247.13,2225.87,-8.05,-12.73,15.01,202,2212,1252
24,wp25,72.013144,-49.430017,310.569983,142126.94,8021482.21,2022.75,-129.69,-79.18,151.47,228.6,2044,1509
25,wp26,71.772477,-49.039362,310.960638,150956.09,7992688.92,2028.68,-147.92,-0.44,147.39,260.3,2016,1217
26,wp27,71.532671,-48.657722,311.342278,159850.02,7964076.14,2110.01,-63.93,-15.63,65.6,247.1,2102,1432
27,wp28,71.290950,-48.287669,311.712331,168654.66,7935350.73,2101.27,-81.95,-32.33,87.83,239.6,2108,1634
30,wp31,70.562803,-47.226967,312.773033,195268.24,7849311.78,2111.44,-87.28,-23.78,90.19,247,2104,1796
31,wp32,70.318614,-46.890370,313.109630,204142.83,7820623.63,2118.56,-79.09,-22.37,81.96,246.8,2119,2038
32,n32,70.114939,-46.613117,313.386883,211653.02,7796738.38,2113.65,-77.55,-19.95,79.85,248.4,2113,1947
33,cd08,69.805009,-46.956098,313.043902,194221.28,7764093.34,1975.35,-101.62,-33.17,106.59,244.4,1979,1860
34,cd38,69.522769,-46.892916,313.107084,192575.88,7732531.15,1893.23,-115.79,-21.59,117.44,252,1896,1887
35,cd64,69.277731,-46.846806,313.153194,190863.29,7705168.73,1829,-140.76,8.16,140.57,266,1864,1822
37,cd107,68.870984,-46.789312,313.210688,187362.80,7659837.60,1809.29,-90.87,10.15,91.16,269.1,1815,1669
38,cd136,68.596670,-46.745317,313.254683,185269.96,7629234.12,1830.86,-105.86,23.88,108.19,275.5,1871,1729
39,cd159,68.378903,-46.705242,313.294758,183855.13,7604909.78,1872.76,-73.30,2.93,73.14,265.1,1876,1933
41,cd206,67.935739,-46.567474,313.432526,183429.07,7555110.84,1922.94,-43.96,10.21,44.24,276.5,1921,1815
42,f001,67.700295,-46.511666,313.488334,182568.71,7528738.04,1954.28,-39.04,10.66,40.34,278.3,1952,1793
43,f002,67.439452,-46.684078,313.315922,171710.20,7500739.18,1936.03,-34.36,9.53,35.55,278.4,1943,1668
44,f003,67.179997,-46.860852,313.139148,160531.10,7472954.29,1914.02,-40.12,9.62,41.13,276.2,1920,1682
45,f004,66.918883,-47.029927,312.970073,149507.48,7444980.39,1882.01,-52.54,13.34,54.03,276.9,1883,1685
46,f005,66.658336,-47.196659,312.803341,138446.37,7417091.64,1897.99,-37.50,23.71,44.24,294.8,1891,1652
47,f006,66.397356,-47.360305,312.639695,127370.10,7389172.04,1922.85,-32.35,16.07,36,288.8,1929,1501
48,f007,66.136183,-47.521618,312.478382,116252.94,7361251.33,1932.11,-34.04,12.80,36.24,282.8,1931,1535
49,f008,65.874978,-47.676635,312.323365,105280.22,7333321.54,1927.55,-39.46,14.74,41.97,282.6,1935,1356
50,f009,65.613676,-47.830149,312.169851,94240.90,7305403.44,1919.92,-36.94,15.21,39.8,284.3,1918,1416
51,f010,65.352042,-47.980901,312.019099,83191.86,7277462.35,1943.94,-39.98,17.94,43.65,286,1942,1305
52,f011,65.089717,-48.128967,311.871033,72127.77,7249457.74,1944.77,-35.54,12.41,37.5,281,1946,1362
53,f012,64.827751,-48.272570,311.727430,61153.05,7221492.30,1888.34,-48.06,9.35,48.77,272.6,1905,1221
54,f013,64.566101,-48.414470,311.585530,50142.65,7193578.80,1831.32,-54.16,13.50,55.59,275.5,1846,1009
55,f014,64.297654,-48.434931,311.565069,44724.51,7164065.14,1784.45,-69.33,5.12,69.23,265.7,1827,928
56,f015,64.028058,-48.454323,311.545677,39329.69,7134417.45,1876.37,-86.58,18.32,88.13,273.4,1878,1144
57,f016,63.759641,-48.473607,311.526393,33951.31,7104899.67,1902.96,-42.49,7.92,43.04,272.1,1891,810
58,f017,63.490429,-48.492647,311.507353,28563.70,7075292.72,1894.89,-38.22,16.20,41.34,284.5,1924,913
59,f018,63.221493,-48.510576,311.489424,23228.38,7045708.43,1911.99,-40.51,-21.82,45.84,233.1,1935,672
60,f019,62.952894,-48.528440,311.471560,17895.31,7016160.97,1911.77,-0.66,0.39,0.77,291.8,1899,354
61,f020,62.729153,-48.199203,311.800797,30902.24,6988987.95,1952.03,-13.41,-16.58,21.26,210.7,1950,471
62,f021,62.504610,-47.875638,312.124362,43878.38,6961824.28,1855.19,-53.46,-2.83,53.32,259.1,1860,599
63,f022,62.280479,-47.560157,312.439843,56710.47,6934818.82,1832.4,-126.79,-61.95,140.61,236.3,1851,1098
64,f023,62.054191,-47.245282,312.754718,69739.16,6907634.00,1900.5,-62.98,-11.51,63.78,252.3,1920,1033
65,f024,61.827689,-46.937028,313.062972,82677.54,6880524.81,1954.18,-12.17,-3.34,12.57,247.6,1961,978
66,f025,61.811124,-46.369536,313.630464,112210.89,6875164.77,2122.99,-14.13,-17.82,22.69,211.9,2118,922
67,f026,61.791957,-45.802879,314.197121,141723.68,6869779.75,2220.82,-22.64,-53.31,57.82,197,2182,1329
68,f028,61.746267,-44.673109,315.326891,200660.30,6858983.95,2184.76,-15.43,-7.74,17.23,238.3,2178,847
69,f029,61.722267,-44.104759,315.895241,230392.81,6853828.27,2091.55,31.92,4.44,32.15,77.6,2232,814
70,f030,61.933610,-43.754666,316.245334,250581.51,6875923.77,2172.74,23.02,-4.92,23.49,97.9,2188,850
71,f031,62.202609,-43.742183,316.257817,253427.64,6905785.21,2160.52,35.63,-39.07,52.53,133.5,2197,1297
72,f032,62.471789,-43.729098,316.270902,256300.11,6935665.57,2122.95,85.19,-2.03,85.02,87.2,2178,342
73,f033,62.749948,-44.133640,315.866360,237950.34,6968176.36,2465.23,60.60,-1.55,60.47,86.9,2482,877
74,F034,63.030331,-43.874840,316.125160,253508.45,6998322.17,2392.75,93.84,-80.78,123.59,126.4,2428,893
75,F035,63.245029,-43.672810,316.327190,265451.12,7021437.27,2535.71,40.33,-24.26,46.97,116.9,2463,1000
76,F036,63.494217,-43.434616,316.565384,279313.90,7048303.41,2563.04,23.76,-9.29,25.47,107.4,2558,1110
77,F037,63.739128,-43.195278,316.804722,293001.56,7074745.44,2628.62,8.31,-6.52,10.55,124.4,2606,1206
78,F038,63.989010,-42.950230,317.049770,306804.08,7101778.10,2477.22,54.76,7.27,55.13,78.9,2488,1200
79,F039,64.233894,-42.699947,317.300053,320619.43,7128296.59,2359.77,21.79,5.08,22.34,73.5,2345,991
80,F040,64.477791,-42.444912,317.555088,334447.72,7154750.59,2072.6,193.76,-42.00,197.89,99.1,2072,1102
81,F041,64.747246,-42.418655,317.581345,337327.37,7184677.18,2203.84,51.16,-26.13,57.35,114,2188,1591
82,F042,65.015823,-42.391052,317.608948,340243.92,7214504.96,2119.11,52.68,22.92,57.35,63.4,2145,1372
83,F043,65.285522,-42.361359,317.638641,343241.98,7244454.78,2003.47,142.61,-24.89,144.5,96.9,1998,1628
84,F044,65.552673,-42.334488,317.665512,346070.02,7274130.36,2035.01,100.09,-55.63,114.32,116.1,2028,1668
85,F045,65.784592,-41.993885,318.006115,363014.06,7299165.41,2035.55,43.04,-43.81,61.34,132.8,2038,1621
86,F046,66.012184,-41.654491,318.345509,379608.07,7323816.72,2101.77,42.40,-42.77,60.14,132.9,2091,1823
87,F047,66.242210,-41.296429,318.703571,396781.11,7348801.49,2129.81,36.69,-45.37,58.29,139,2140,1761
88,F048,66.469109,-40.942612,319.057388,413465.36,7373544.98,2209.37,17.61,-17.42,24.74,132.9,2203,1855
89,F049,66.696030,-40.583008,319.416992,430122.31,7398381.63,2194.71,36.94,-20.83,42.34,118,2196,2014
90,F050,66.922745,-40.212467,319.787533,446968.51,7423284.19,2186.72,56.47,-57.23,80.29,134.3,2198,2071
91,F051,67.147873,-39.835926,320.164074,463774.00,7448108.25,2269.7,30.22,-87.69,92.66,160.2,2274,2055
92,F052,67.312195,-39.282639,320.717361,487834.52,7466211.08,2348.95,0.71,-74.41,74.34,179.2,2363,2149
93,F053,67.473175,-38.727440,321.272560,511652.86,7484155.51,2482.55,-28.13,-64.86,70.61,203.7,2484,2440
94,F054,67.633553,-38.160580,321.839420,535645.14,7502251.06,2628.94,-23.57,-22.11,32.27,227.6,2629,2037
95,F055,67.790070,-37.584942,322.415058,559687.45,7520141.65,2754.86,-15.38,-6.46,16.65,248.5,2783,1952
96,F056,67.946709,-37.003674,322.996326,583635.78,7538273.42,2886.4,-6.96,-1.15,7.04,262.4,2884,1997
97,F057,68.099632,-36.416012,323.583988,607532.14,7556222.78,2977.85,-1.05,0.10,1.05,277.6,2978,1660
98,F058,68.251793,-35.814995,324.185005,631651.10,7574337.22,2931.81,2.56,0.49,2.6,82,2930,1395
99,F059,68.530624,-35.744957,324.255043,632901.96,7605540.52,2799.46,14.42,6.38,15.74,69.1,2795,2318
100,F060,68.811913,-35.669079,324.330921,634299.24,7637030.95,2753.86,17.79,-0.83,17.77,95.8,2755,1727
101,F061,69.095261,-35.585159,324.414841,635922.68,7668769.48,2696.2,40.30,15.01,42.92,72.7,2695,1901
102,F062,69.375175,-35.507980,324.492020,637213.39,7700111.72,2720.48,56.01,-31.71,64.25,122.8,2717,1991
103,F063,69.522217,-34.820210,325.179790,663085.38,7718169.25,2720.32,15.93,-24.20,28.93,150.6,2723,1463
104,F064,69.666458,-34.128551,325.871449,688745.19,7736207.58,2664.4,44.70,-42.15,61.32,137.9,2656,1335
105,F065,69.808495,-33.424568,326.575432,714514.59,7754322.51,2696.04,6.73,-37.77,38.3,175.1,2699,1703
106,F066,69.948853,-32.709755,327.290245,740324.87,7772577.20,2769.35,0.94,-10.74,10.76,180.9,2767,1822
107,F067,70.221634,-32.619396,327.380604,740583.17,7803211.25,2871.51,3.01,-2.47,3.88,135.4,2865,2070
108,F068,70.495773,-32.526173,327.473827,740835.57,7834003.95,2870.01,6.68,2.05,6.97,79,2869,1914
109,F069,70.769440,-32.433437,327.566563,740976.26,7864738.54,2816.33,15.02,5.26,15.87,76.9,2816,2002
110,F070,71.041656,-32.336258,327.663742,741195.96,7895326.07,2785.28,19.39,3.65,19.68,85.6,2784,2210
111,F071,71.316032,-32.234211,327.765789,741458.70,7926168.39,2747.7,21.36,7.75,22.67,76.5,2745,2094
112,F072,71.588303,-32.131805,327.868195,741651.61,7956774.18,2701.79,49.10,9.96,49.97,85.1,2696,2153
114,F074,72.135010,-31.915314,328.084686,742080.18,8018258.49,2749.53,24.06,-11.43,26.56,122.2,2786,1452
115,F075,72.407524,-31.801113,328.198887,742332.14,8048923.78,2855.64,10.97,-5.15,12.09,122.1,2856,2411
116,F076,72.678375,-31.675364,328.324636,742866.59,8079445.89,2903.56,7.22,-2.68,7.68,117.4,2910,1606
117,F077,72.953003,-31.566275,328.433725,742674.94,8110312.96,2912.17,7.08,0.48,7.08,93.2,2916,1752
118,F078,73.225838,-31.443262,328.556738,742836.42,8141031.35,2916.83,8.78,0.62,8.78,93.2,2910,1348
119,F081,73.503952,-31.302589,328.697411,743346.87,8172399.33,2890.06,8.08,0.97,8.11,90.6,2888,861
120,F082,73.779762,-31.061939,328.938061,746830.97,8203916.28,2821.07,7.00,1.49,7.14,85.6,2824,691
121,F083,74.054390,-30.813032,329.186968,750327.93,8235336.27,2773.63,10.96,1.62,11.05,89.5,2773,918
122,F084,74.328323,-30.548584,329.451416,754035.90,8266744.45,2729.32,4.67,2.61,5.34,68.9,2725,1441
123,F085,74.601196,-30.269665,329.730335,757905.55,8298097.05,2655.51,4.57,0.88,4.64,87.5,2663,1358
124,F086,74.873558,-29.983608,330.016392,761694.68,8329423.47,2663.34,10.21,5.70,11.66,69.5,2660,1802
125,F087,75.147385,-29.693182,330.306818,765279.67,8360928.55,2585.51,14.86,5.33,15.74,79.3,2587,2088
126,F088,75.419876,-29.387400,330.612600,769006.14,8392351.79,2536.92,4.65,2.84,5.44,67.9,2540,1654
127,F089,75.691803,-29.071697,330.928303,772689.28,8423753.79,2462.75,3.74,4.44,5.79,49.8,2469,2024
128,F090,75.963211,-28.742641,331.257359,776404.76,8455155.07,2364.97,5.64,5.55,7.89,55.4,2361,1367
129,F091,76.234665,-28.397566,331.602434,780190.40,8486630.22,2287.84,4.31,1.44,4.53,81.9,2286,1413
130,F092,76.505127,-28.044756,331.955244,783829.30,8518025.34,2177.99,1.66,4.47,4.76,31,2174,825
131,F096,76.778679,-27.670790,332.329210,787560.38,8549852.03,2049.04,3.34,4.97,5.97,44.9,2051,1529
132,F097,77.029907,-28.100122,331.899878,771610.84,8575370.78,1912.14,14.54,29.52,32.82,36.8,1920,1477
133,F098,77.282295,-28.504318,331.495682,756632.21,8601274.83,1854.13,77.99,87.32,116.74,52,1864,1712
134,F099,77.531006,-28.974405,331.025595,740524.56,8626635.06,1817.26,74.34,83.05,111.15,51.6,1813,1442
135,F100,77.779991,-29.445034,330.554966,724819.97,8652184.44,1759.06,56.49,76.62,94.94,45.7,1750,1520
136,F101,78.028870,-29.934349,330.065651,709113.11,8677811.94,1729.15,42.01,26.58,49.58,66.5,1724,1374
137,F102,78.326157,-30.551798,329.448202,690193.57,8708528.11,1758.63,43.57,21.88,48.64,71.6,1751,1679
138,F103,78.620911,-31.190748,328.809252,671511.49,8739142.73,1768.72,31.28,14.34,34.33,73,1772,1565
139,F104,78.914452,-31.864872,328.135128,652786.43,8769774.97,1800.09,26.70,10.37,28.57,75.8,1799,1590
140,F105,79.208435,-32.589901,327.410099,633726.46,8800593.64,1832.63,25.40,8.54,26.74,77.7,1827,1676
141,F106,79.497482,-33.339127,326.660873,615018.27,8831089.64,1889.84,16.04,2.39,16.18,87.1,1890,1766
142,F107,79.786255,-34.135643,325.864357,596184.73,8861749.61,1941.63,8.71,1.84,8.88,82.9,1941,1373
143,F108,80.073242,-34.972931,325.027069,577441.74,8892442.73,1956.15,4.87,4.24,6.45,52.9,1956,1790
144,F109,80.357452,-35.866432,324.133568,558568.86,8923062.77,1914.55,7.34,10.21,12.55,38.8,1917,1631
145,F110,80.639969,-36.810921,323.189079,539737.45,8953766.58,1871.81,9.85,8.96,13.29,49.9,1872,1716
146,F113,80.919762,-37.821804,322.178196,520756.93,8984458.78,1847.59,5.71,5.01,7.58,49.9,1850,1333
147,F114,80.751534,-39.913464,320.086536,483611.04,8965599.24,2008.49,1.34,1.62,2.1,38.7,2007,1748
148,F115,80.571526,-41.938969,318.061031,446273.52,8946737.52,2035.05,-2.20,4.70,5.18,332,2035,1712
149,F116,80.380714,-43.897526,316.102474,408742.11,8927927.75,2033.12,-4.19,7.75,8.79,326.8,2032,1724
150,F117,80.179413,-45.762424,314.237576,371515.20,8909091.53,2032.28,-5.40,10.89,12.13,327,2033,1827
151,F118,79.968246,-47.557148,312.442852,334173.00,8890259.58,2028.56,-5.75,14.12,15.22,329.4,2025,1964
152,F119,79.747986,-49.275402,310.724598,296862.26,8871433.15,2021.15,-6.32,11.91,13.45,321.9,2027,2383
153,F120,79.519051,-50.922356,309.077644,259514.56,8852603.52,1963.74,-21.47,18.53,28.28,299.1,1962,1868
154,F121,79.282326,-52.497032,307.502968,222198.41,8833793.72,1959.75,-14.33,31.48,34.49,322.3,1953,1965
155,F122,79.037605,-54.008064,305.991936,184767.34,8814953.90,1968.1,-10.93,26.00,28.11,322.5,1970,2033
156,F123,78.784912,-55.449223,304.550777,147380.50,8795989.06,1981.47,-9.32,21.63,23.47,320.6,1978,1945
157,HUMB,78.526634,-56.830029,303.169971,109952.78,8777143.29,1988.15,-9.52,15.06,17.79,310.1,1984,1895
158,FH01,78.254066,-57.755390,302.244610,80746.18,8754563.16,2028.76,-3.41,9.16,9.73,321.2,2026,1898
159,FH02,77.979317,-58.629066,301.370934,51782.84,8731962.72,2074.9,-1.43,4.72,4.91,323.9,2076,1708
160,FH03,77.700867,-59.470184,300.529816,22637.36,8709282.03,2082.08,-2.81,0.87,2.93,267.3,2081,1949
161,FH04,77.419754,-60.275887,299.724113,-6552.01,8686577.38,2011.6,-4.68,0.08,4.66,250.2,2009,1719
